English,French
Go away!,Décampe !
Go away.,Va te faire foutre !
Go away.,Pars !
Go away.,Dégage !
Go away.,Fous le camp !
Go away.,Pars d'ici.
Go away.,Va-t’en !
Go away.,Disparais !
Go away.,Déguerpissez.
Go away.,Cassez-vous.
Go away.,Bouge !
Go away.,Décampez !
Go away.,Décampe !
Go away.,Allez-vous-en.
Go back.,Recule.
Go home.,Rentrez à la maison.
Go home.,Rentre à la maison.
Go home.,Rentre chez toi.
Go home.,Rentrez chez vous.
Go slow.,Va doucement !
Go slow.,Allez doucement !
Goodbye!,Adieu !
Goodbye!,À la revoyure.
Goodbye!,Ciao.
Goodbye.,Au revoir.
Goodbye.,Ciao.
Hang on!,Attends un peu !
Hang on!,Attendez un peu !
Hang on!,Attendez.
Hang on.,Tiens bon !
Hang on.,Tenez bon !
Hang on.,Attendez.
He left.,Il est parti.
He runs.,Il court.
Help me!,Aide-moi !
Help me.,À l'aide !
Help me.,Aide-moi.
Help me.,Aidez-moi.
Help me.,Aide-moi !
Help us.,Aidez-nous !
Help us.,Aide-nous !
Hold it!,Ne bouge plus !
Hold it!,Ne bougez plus !
Hold it!,Restez où vous êtes !
Hold it!,Attendez.
Hold on.,Ne quittez pas.
Hold on.,Ne quitte pas !
Hold up.,Tiens bon.
Hold up.,Tenez bon.
How sad!,Comme c'est triste.
Hug Tom.,Fais un câlin à Tom.
I agree.,Je suis du même avis.
I cried.,J'ai pleuré.
I dozed.,Je me suis assoupi.
I dozed.,Je me suis assoupie.
I drive.,Je conduis.
I drove.,Je conduisis.
I fired.,J'ai tiré.
I froze.,Je me suis figé.
I froze.,Je me suis figée.
I smoke.,Je fume.
I snore.,Je ronfle.
I stink.,Je pue.
I stood.,Je me suis tenu debout.
I stood.,Je me suis tenue debout.
I swore.,J’ai promis.
I swore.,J’ai juré.
I tried.,J'essayai.
I tried.,J'ai essayé.
I tried.,J'ai tenté.
I waved.,J’ai fait signe.
I'll go.,J'irai.
I'm Tom.,Je suis Tom.
I'm fat.,Je suis gras.
I'm fat.,Je suis gros.
I'm fit.,Je suis en forme.
I'm hit!,Je suis touché !
I'm hit!,Je suis touchée !
I'm ill.,Je suis malade.
I'm mad.,Je suis fou.
I'm mad.,Je suis folle.
I'm mad.,Je suis en colère.
I'm sad.,Je suis triste.
I'm sad.,J'ai un coup de cafard.
I'm sad.,Je suis malheureux.
I'm shy.,Je suis timide.
I'm wet.,Je suis mouillé.
I'm wet.,Je suis mouillée.
It's me!,C'est bibi !
Join us.,Joignez-vous.
Join us.,Joignez-vous à nous.
Keep it.,Garde-le !
Keep it.,Gardez-le !
Kick it.,Donne-lui un coup de pied.
Kick it.,Donnez-lui un coup de pied.
Kill it.,Tuez-le.
Kill it.,Tue-le.
Kill it.,Tue-la.
Kill it.,Tuez-la.
Kiss me.,Embrasse-moi.
Kiss me.,Embrassez-moi.
Lie low.,À terre !
Lie low.,Au sol !
Lock it.,Verrouillez-le.
Lock it.,Verrouille-le.
Lock it.,Verrouillez-la.
Lock it.,Verrouille-la.
Look up.,Levez les yeux.
Look up.,Lève les yeux.
"Me, too.",Moi aussi.
"Me, too.",À moi aussi.
Move on.,Passez à autre chose.
Move on.,Passe à autre chose.
Open it.,Ouvrez-le.
Open it.,Ouvre-le.
Open it.,Ouvre-la.
Open it.,Ouvrez-la.
Open up.,Ouvre-moi !
Open up.,Ouvre.
Pair up.,Faites équipe.
Perfect!,Parfait !
Perfect!,Nickel !
Perfect!,Parfait !
Pull it.,Tirez dessus.
Pull it.,Tire dessus.
Push it.,Appuie dessus.
Push it.,Poussez-le.
Push it.,Pousse-le.
Push it.,Poussez-la.
Push it.,Pousse-la.
See you!,À plus tard !
See you!,À bientôt !
See you!,À la prochaine !
See you!,Ciao.
See you.,À plus.
See you.,Ciao.
Show me.,Montre-moi !
Show me.,Montrez-moi !
Shut up!,Taisez-vous !
Shut up!,Ferme-la !
Shut up!,Tais-toi !
Shut up!,Ferme-la !
Shut up!,La ferme !
Shut up!,Bouclez-la !
Shut up!,Fermez-la !
Shut up!,Ferme-la !
Sign up.,Inscrivez-vous.
Sign up.,Inscris-toi.
Skip it.,Laisse tomber.
Skip it.,Pas grave.
So long.,À plus tard !
Take it.,Prends-le !
Take it.,Prenez-le !
Take it.,Prends-le !
Take it.,Prenez-le !
Take it.,Prenez-le.
Take it.,Prends-le.
Tell me.,Dis-moi !
Tell me.,Dites-moi !
Tom won.,Tom a gagné.
Wake up!,Réveille-toi !
Wake up!,Réveille-toi !
Wake up!,Réveillez-vous !
Wake up.,Réveille-toi !
Wake up.,Réveillez-vous !
Wash up.,Lave-toi !
Wash up.,Lavez-vous !
We care.,Nous nous en soucions.
We know.,Nous savons.
We know.,On sait.
We lost.,Nous perdîmes.
We lost.,Nous avons perdu.
We lost.,Nous fûmes battus.
We lost.,Nous fûmes battues.
We lost.,Nous fûmes défaits.
We lost.,Nous fûmes défaites.
We lost.,Nous avons été défaits.
We lost.,Nous avons été défaites.
We lost.,Nous avons été battus.
We lost.,Nous avons été battues.
Welcome.,Bienvenue !
Welcome.,Soyez le bienvenu !
Who ran?,Qui courait ?
Who won?,Qui a gagné ?
Who won?,Qui l'a emporté ?
You run.,Tu cours.
You win.,Vous avez gagné.
Aim high.,Visez haut.
Aim high.,Vise haut.
Am I fat?,Suis-je gros ?
Am I fat?,Suis-je grosse ?
Ask them.,Demande-leur.
Ask them.,Demandez-leur.
Back off!,Recule !
Back off!,Reculez.
Back off!,Cassez-vous.
Back off.,Recule !
Back off.,Reculez.
Back off.,Retire-toi !
Back off.,Retirez-vous.
Back off.,Cassez-vous.
Be a man.,Sois un homme !
Be a man.,Soyez un homme !
Be brave.,Soyez courageux !
Be brief.,Soyez bref.
Be brief.,Sois bref.
Be brief.,Sois brève.
Be brief.,Soyez brève.
Be brief.,Soyez brefs.
Be brief.,Soyez brèves.
Be still.,Sois calme !
Be still.,Soyez calme !
Be still.,Soyez calmes !
Buzz off.,Casse-toi.
Call Tom.,Appelle Tom.
Call Tom.,Appelez Tom.
Can I go?,Je peux y aller ?
Cheer up!,Courage !
Cheer up.,Courage !
Cool off!,Détends-toi !
Cover me.,Couvre-moi.
Cuff him.,Menottez-le.
Drive on.,Avance !
Drive on.,Avancez !
Drive on.,Continue à rouler !
Drive on.,Continuez à rouler !
Find Tom.,Trouve Tom.
Find Tom.,Trouvez Tom.
Fix this.,Réparez ceci.
Fix this.,Répare ça.
Get away!,Dégage !
Get away!,Casse-toi.
Get away!,Pars !
Get away!,Dégage !
Get away!,Fous le camp !
Get away!,Pars d'ici.
Get away!,Va-t’en !
Get away!,Écarte-toi !
Get away!,Disparais !
Get away!,Allez-vous-en !
Get away!,Fiche le camp.
Get away!,Tire-toi de là.
Get away!,Dégage.
Get away!,Va-t'en !
Get away!,Criss ton camp d'icit !
Get away!,Fichez le camp.
Get away!,Déguerpissez.
Get away!,Cassez-vous.
Get away!,Barrez-vous.
Get away!,Barre-toi.
Get away!,Va-t’en !
Get away!,Bouge !
Get away!,Décampez !
Get away!,Décampe !
Get away!,Tu dis n’importe quoi !
Get away.,Pars.
Get away.,Partez.
Get down!,Lâche-toi !
Get down!,À terre !
Get down!,Au sol !
Get down!,Descends.
Get down.,Descends !
Get down.,Descendez !
Get down.,Lâche-toi !
Get down.,Lâchez-vous !
Get down.,À terre !
Get down.,Au sol !
Get down.,Descends.
Get lost!,Va voir ailleurs si j'y suis !
Get lost!,Dégage !
Get lost!,Va au diable !
Get lost!,Déguerpissez.
Get lost!,Cassez-vous.
Get lost!,Bouge !
Get lost!,Décampez !
Get lost!,Décampe !
Get lost!,Va te faire foutre !
Get lost!,Va te faire voir !
Get lost.,Fiche le camp.
Get lost.,Fichez le camp.
Get lost.,Déguerpissez.
Get lost.,Cassez-vous.
Get lost.,Bouge !
Get lost.,Décampez !
Get lost.,Décampe !
Get real!,Sois réaliste !
Get real!,Tu délires !
Go ahead!,Allez !
Go ahead!,Vas-y.
Go ahead!,En avant !
Go ahead!,Va !
Go ahead!,Poursuis !
Go ahead!,Poursuivez !
Go ahead!,Passe devant !
Go ahead!,Vas-y !
Go ahead!,Allez-y !
Go ahead!,Continuez !
Go ahead!,Continue !
Go ahead!,Allez !
Go ahead!,Avance !
Go ahead!,En avant !
Go ahead.,Allez !
Go ahead.,Vas-y.
Go ahead.,Va !
Go ahead.,Poursuis !
Go ahead.,Poursuivez !
Go ahead.,Passe devant !
Go ahead.,Vas-y !
Go ahead.,Allez-y !
Go ahead.,Continuez !
Go ahead.,Continue !
Go ahead.,Allez !
Go ahead.,Avance !
Go ahead.,En route !
Good job!,Bien joué !
Good job!,Bon boulot !
Good job!,Beau travail !
Good job!,Bravo !
Grab Tom.,Attrape Tom.
Grab Tom.,Attrapez Tom.
Grab him.,Attrape-le.
Grab him.,Attrapez-le.
Grab him.,Mettez-lui la main dessus !
Have fun.,Amuse-toi bien !
Have fun.,Amusez-vous bien !
Have fun.,Amuse-toi bien.
Have fun.,Amusez-vous bien.
He spoke.,Il a parlé.
He spoke.,Il a pris la parole.
He spoke.,Il s'est exprimé.
He tries.,Il essaye.
He's wet.,Il est mouillé.
Help Tom.,Aide Tom.
Help Tom.,Aidez Tom.
Help Tom.,Aidez Tom !
"Hi, guys.","Salut, les mecs !"
How cute!,Comme c'est mignon !
How cute!,Trop mignon !
How cute!,Trop mignonne !
How deep?,Quelle profondeur ?
How nice!,Comme elle est belle !
How nice!,Comme c'est chouette !
How nice!,Comme c'est gentil !
How nice!,C'est du joli !
How nice!,Comme c'est agréable !
How rude!,Quelle grossièreté !
How wise!,Quelle sagesse !
Hurry up.,Dépêche-toi.
Hurry up.,Grouille !
Hurry up.,Pressez-vous !
Hurry up.,Fiça !
Hurry up.,Magne-toi !
Hurry up.,Magnez-vous !
I am Tom.,Je suis Tom.
I cursed.,J'ai juré.
I did OK.,Je m'en suis bien sorti.
I did OK.,Je m'en suis bien sortie.
I did it.,Je l'ai fait.
I did it.,C'est moi qui l'ai fait.
I failed.,J'ai échoué.
I forgot.,J'ai oublié.
I get it.,J'ai compris.
I goofed.,J'ai fait une gaffe.
I got it.,J'ai compris.
I got it.,J'ai capté.
I helped.,J'ai aidé.
I jumped.,J'ai sauté.
I looked.,J’ai regardé.
I moaned.,J’ai râlé.
I nodded.,J’ai fait signe de la tête.
I obeyed.,J’ai obéi.
I phoned.,Je téléphonai.
I phoned.,J'ai téléphoné.
I refuse.,Je refuse.
I refuse.,Je le refuse.
I rested.,Je me suis reposé.
I rested.,Je me suis reposée.
I saw it.,Je l'ai vu.
I saw it.,Je l’ai vu.
I sighed.,J’ai soupiré.
I smiled.,J'ai souri.
I stayed.,Je suis resté.
I stayed.,Je suis restée.
I talked.,J’ai parlé.
I use it.,Je l'utilise.
I use it.,J'en fais usage.
I use it.,Je m'en sers.
I'll pay.,Je paierai.
I'll pay.,Je paie.
I'll try.,Je vais essayer.
I'll try.,J'essaierai.
I'm back.,Je suis revenu.
I'm back.,Me revoilà.
I'm bald.,Je suis chauve.
I'm busy.,Je suis occupé.
I'm busy.,Je suis occupée.
I'm calm.,Je suis calme.
I'm cold.,J'ai froid.
I'm cool.,Je suis détendu.
I'm cool.,Je suis détendue.
I'm deaf.,Je suis sourd.
I'm deaf.,Je suis sourde.
I'm done.,J'en ai fini.
I'm fair.,Je suis juste.
I'm fair.,J'ai la peau claire.
I'm fair.,J'ai le teint clair.
I'm fast.,Je suis rapide.
I'm fine.,Tout va bien.
I'm fine.,Je vais bien.
I'm fine.,Ça va.
I'm free!,Je suis libre !
I'm free.,Je suis libre.
I'm free.,Je suis disponible.
I'm full.,Je suis repu !
I'm full.,Je suis rassasié !
I'm game.,J'en suis.
I'm game.,Je suis de la partie.
I'm glad.,Je suis content.
I'm good.,Je vais bien.
I'm good.,Je suis bon.
I'm home.,Je suis chez moi.
I'm late.,Je suis en retard.
I'm lazy.,Je suis paresseux.
I'm lazy.,Je suis fainéant.
I'm lazy.,Je suis paresseuse.
I'm lazy.,Je suis fainéante.
I'm lost.,Je suis paumé.
I'm lost.,Je suis perdue.
I'm okay.,Je vais bien.
I'm okay.,Je me porte bien.
I'm rich.,Je suis riche.
I'm safe.,Je suis en sécurité.
I'm sick.,Je suis malade.
I'm sure.,J'en suis certain.
I'm sure.,Je suis certain.
I'm sure.,J'en suis sûr.
I'm sure.,J'en suis sûre.
I'm tall.,Je suis grande.
I'm thin.,Je suis mince.
I'm tidy.,Je suis ordonné.
I'm tidy.,Je suis ordonnée.
I'm ugly.,Je suis laid.
I'm ugly.,Je suis laide.
I'm ugly.,Je suis moche.
I'm weak.,Je suis faible.
I'm well.,Je vais bien.
I'm well.,Je me porte bien.
I've won.,J'ai gagné.
I've won.,Je l'ai emporté.
It helps.,Ça aide.
It hurts.,Ça fait mal.
It works.,Elle marche.
It works.,Ça fonctionne.
It's Tom.,C'est Tom.
It's fun.,C'est marrant.
It's fun.,C'est rigolo.
It's his.,C'est le sien.
It's his.,C'est la sienne.
It's hot.,C'est chaud.
It's new.,C'est nouveau.
It's new.,C'est neuf.
It's odd.,C'est bizarre.
It's red.,Il est rouge.
It's sad.,C’est triste.
Keep out!,Défense d'entrer.
Keep out.,N'entrez pas.
Kill Tom.,Tuez Tom.
Kill Tom.,Tue Tom.
Kiss Tom.,Embrasse Tom.
Leave it.,Laisse tomber !
Leave it.,Laissez tomber !
Leave it.,Laisse !
Leave it.,Laissez ça.
Leave it.,Laisse ça.
Leave me.,Laissez-moi !
Leave us.,Laisse-nous !
Leave us.,Laissez-nous !
Let's go!,Allons-y !
Let's go!,Allons !
Let's go!,En route !
Let's go.,Allons-y !
Let's go.,En route !
Look out!,Attention !
Look out!,Faites attention !
Look out!,Fais attention !
Look out!,Soyez prudente !
Look out!,Fais gaffe !
Look out!,Faites gaffe !
Look out!,Fais attention !
Look out!,Regarde donc !
Look out!,Faites attention.
Look out!,Fais attention.
Marry me.,Épouse-moi !
Marry me.,Épousez-moi !
May I go?,Puis-je partir ?
May I go?,Puis-je y aller ?
May I go?,Puis-je m'y rendre ?
Nice try.,Belle tentative.
Now stop!,Arrêtez-vous maintenant !
Now stop!,Arrête-toi maintenant !
Prove it.,Prouvez-le.
Prove it.,Prouve-le.
Run away.,Fuyez.
Run away.,Fuis.
Run away.,Enfuyez-vous.
Run away.,Enfuis-toi.
Save Tom.,Sauve Tom.
Save Tom.,Sauvez Tom.
Say what?,De quoi ?
She came.,Elle est venue.
She died.,Elle est morte.
She left.,Elle est partie.
She runs.,Elle court.
Sit down!,Assieds-toi !
Sit down!,Asseyez-vous !
Sit down!,Asseyez-vous.
Sit down.,Assieds-toi.
Sit down.,Asseyez-vous.
Sit here.,Assieds-toi ici.
Sit here.,Asseyez-vous ici.
Speak up!,Parle plus fort !
Speak up!,Parlez plus fort !
Speak up!,Parle plus fort !
Speed up.,Accélère.
Speed up.,Accélérez.
Stand up.,Lève-toi.
Stop Tom.,Arrête Tom.
Stop Tom.,Stoppez Tom.
Take Tom.,Prends Tom.
Taste it.,Goûte-le.
Taste it.,Goûte-la.
Taste it.,Goûtez-le.
Taste it.,Goûtez-la.
Tell Tom.,Dis-le à Tom.
Tell Tom.,Informez-en Tom.
Terrific!,Fantastique !
Terrific!,Génial !
Terrific!,Super !
Terrific!,Au poil !
Terrific!,Impeccable !
Terrific!,Nickel !
Terrific!,Excellent !
Terrific!,Magnifique !
Terrific!,Nickel chrome !
Terrific!,Bien.
Terrific!,Formidable !
Terrific!,C'est génial !
Terrific!,À la bonne heure !
Terrific!,C'est super.
Terrific!,Super !
Terrific!,Génial !
Terrific!,Sensass !
They won.,Ils gagnèrent.
They won.,Elles gagnèrent.
They won.,Ils ont gagné.
They won.,Elles ont gagné.
Tom came.,Tom est venu.
Tom died.,Tom est mort.
Tom knew.,Tom savait.
Tom left.,Tom est parti.
Tom left.,Tom partit.
Tom lied.,Tom a menti.
Tom lies.,Tom ment.
Tom lost.,Tom a perdu.
Tom paid.,Tom a payé.
Tom paid.,Tom payait.
Tom went.,Tom est parti.
Tom's up.,Tom est debout.
Too late.,Trop tard.
Touch it.,Touchez-le.
Touch it.,Touchez-la.
Touch it.,Touche-le.
Touch it.,Touche-la.
Trust me!,Fais-moi confiance !
Trust me.,Faites-moi confiance.
Trust me.,Fais-moi confiance.
Trust me.,Ayez confiance en moi.
Trust me.,Aie confiance en moi.
Try some.,Essaies-en !
Try some.,Essayez-en !
Try some.,Essaie.
Try this.,Essaie ceci !
Try this.,Essayez ceci !
Try this.,Essaye ceci.
Use this.,Utilise ceci.
Use this.,Utilisez ceci.
Use this.,Emploie ceci !
Use this.,Employez ceci !
Warn Tom.,Avertis Tom.
Warn Tom.,Préviens Tom.
Watch me.,Regarde-moi !
Watch me.,Regardez-moi !
Watch us.,Regardez-nous !
Watch us.,Regarde-nous !
We agree.,Nous sommes d'accord.
We'll go.,Nous irons.
We're OK.,Nous allons bien.
What for?,Pour quoi faire ?
What for?,À quoi bon ?
What fun!,Qu'est-ce qu'on s'est marrés !
What fun!,Qu'est-ce qu'on s'est marrées !
Who am I?,Qui suis-je ?
Who came?,Qui est venu ?
Who died?,Qui est mort ?
Who fell?,Qui est tombé ?
Who lost?,Qui a perdu ?
Who paid?,Qui a payé ?
Who quit?,Qui démissionne ?
Who's he?,Qui est-il ?
Write me.,Écris-moi !
Write me.,Écrivez-moi !
You lost.,Tu as perdu.
You lost.,Vous avez perdu.
You lost.,T’as perdu.
After you.,Je vous en prie.
After you.,Après vous.
After you.,À vous l’honneur.
After you.,À toi l’honneur.
Aim. Fire!,En joue ! Feu !
Am I cute?,Suis-je mignon ?
Am I late?,Suis-je en retard ?
Answer me.,Répondez-moi.
Be honest.,Sois honnête.
Be honest.,Soyez honnêtes.
Be honest.,Soyez honnête.
Be seated.,Assieds-toi !
Be seated.,Asseyez-vous !
Be seated.,Asseyez-vous.
Be strong.,Sois puissante !
Birds fly.,Les oiseaux volent.
Bless you.,À tes souhaits !
Call home!,Appelle à la maison !
Calm down!,Calmez-vous !
Calm down!,Du calme.
Calm down!,Tranquille.
Calm down.,Calme-toi.
Calm down.,Du calme.
Calm down.,Tranquille.
Can we go?,Pouvons-nous partir ?
Can we go?,Pouvons-nous nous en aller ?
Can we go?,Pouvons-nous y aller ?
Catch Tom.,Attrape Tom.
Catch Tom.,Attrapez Tom.
Catch him.,Attrape-le !
Catch him.,Rattrape-le.
Catch him.,Saisissez-le.
Chill out.,Calme-toi.
Chill out.,Tranquille.
Choose me.,Choisis-moi !
Come back.,Reviens !
Come back.,Revenez !
Come here.,Viens ici.
Come here.,Venez là.
Come over.,Venez ici !
Come over.,Viens chez nous !
Come over.,Venez chez nous !
Come over.,Viens chez moi !
Come over.,Venez chez moi !
Come soon.,Viens bientôt !
Come soon.,Venez bientôt !
Cool down.,Calmez-vous !
Did I win?,Ai-je gagné ?
Did I win?,L'ai-je emporté ?
Did I win?,Est-ce moi qui ai gagné ?
Do it now.,Faites-le maintenant.
Dogs bark.,Des chiens aboient.
Dogs bark.,Les chiens aboient.
Don't ask.,Ne demande pas !
Don't cry.,Ne pleure pas !
Don't die.,Ne meurs pas !
Don't die.,Ne mourez pas !
Don't lie.,Ne mens pas.
Don't lie.,Ne mens pas !
Don't run.,Ne courez pas.
Don't run.,Ne cours pas.
Excuse me.,Excuse-moi.
Excuse me.,Excusez-moi.
Excuse me?,Pardon ?
Excuse me?,Je vous demande pardon ?
Excuse me?,Plaît-il ?
Excuse me?,Plait-il ?
Excuse me?,Pardon ?
Fantastic!,Fantastique !
Fantastic!,Fantastique !
Fantastic!,Sensass !
Feel this.,Sens ça !
Feel this.,Sentez ça !
Feel this.,Touche ça !
Feel this.,Touchez ça !
Film this.,Filmez ceci.
Film this.,Filme ceci.
Follow me.,Suis-moi.
Follow us.,Suis-nous !
Follow us.,Suivez-nous !
Forget it!,Oublie !
Forget it!,Oublie-le !
Forget it!,Oubliez !
Forget it!,Oubliez-le !
Forget it!,Laissez tomber.
Forget it!,Oubliez ça !
Forget it.,Laisse tomber.
Forget it.,Oublie.
Forget it.,Oublie-le !
Forget it.,Laissez tomber.
Forget it.,Oubliez ça !
Forget me.,Oublie-moi.
Forget me.,Oubliez-moi.
Get a job.,Trouve un emploi !
Get a job.,Trouve un boulot !
Get a job.,Trouvez un emploi !
Get a job.,Trouvez un boulot !
Get a saw.,Va chercher une scie.
Get going.,Vas-y.
Get going.,Allez-y.
Get going.,Marche.
Get going.,Avance.
Get going.,En route !
Get going.,En avant.
Get going.,Déplace-toi.
Get going.,Déplacez-vous.
Get going.,En route.
Get ready.,Prépare-toi.
Get ready.,Préparez-vous.
Go faster.,Va plus vite.
Go faster.,Allez plus vite.
Go for it.,En route !
